Nominal mass	Compositions	Charges
111	HC8N,HC7CxN,HC6Cx2N,HC5Cx3N	1
111	H3C4N2O2,H3C3CxN2O2,H3C4N2OOx,H3C2Cx2N2O2,H3CCx3N2O2	1
111	H5C5NO2,H5C4CxNO2,H5C5NOOx,H5C3Cx2NO2,H5C2Cx3NO2	-1,1
111	H5C4N3O,H5C3CxN3O,H5C2Cx2N3O,H5CCx3N3O	-1,1
111	H6C6NF,H6C5CxNF,H6C4Cx2NF,H6C3Cx3NF	1
111	H5C3N5,H5C2CxN5,H5CCx2N5	1
111	H9C6NO,H9C5CxNO,H9C4Cx2NO,H9C3Cx3NO	-1,1
111	H9C5N3,H9C4CxN3,H9C3Cx2N3,H9C2Cx3N3	-1,1
111	H13C7N,H13C6CxN,H13C5Cx2N,H13C4Cx3N	1
112	SSe,SxSe	1
112	H2OMgCl2,H2OMgClClx	-1
112	H2C2OCl2,H2CCxOCl2,H2C2OClClx	-1,1
112	H4CO4S,H4CO4Sx,H4CO3OxS	-1
112	H5CO4P,H5CO3OxP	-1,1
112	H5C6Cl,H5C5CxCl,H5C6Clx,H5C4Cx2Cl,H5C3Cx3Cl	-1
112	H4C4N2S,H4C3CxN2S,H4C4N2Sx,H4C2Cx2N2S,H4CCx3N2S	-1,1
112	H4C5O3,H4C4CxO3,H4C5O2Ox,H4C3Cx2O3,H4C2Cx3O3	-1,1
112	H4C4N2O2,H4C3CxN2O2,H4C4N2OOx,H4C2Cx2N2O2,H4CCx3N2O2	-1,1
112	H4C3N4O,H4C2CxN4O,H4CCx2N4O	-1,1
112	H8C6O2,H8C5CxO2,H8C6OOx,H8C4Cx2O2,H8C3Cx3O2	-1,1
112	H8C5N2O,H8C4CxN2O,H8C3Cx2N2O,H8C2Cx3N2O	-1,1
112	H12C7O,H12C6CxO,H12C5Cx2O,H12C4Cx3O	-1,1
112	H12C6N2,H12C5CxN2,H12C4Cx2N2,H12C3Cx3N2	1
112	H16C8,H16C7Cx,H16C6Cx2,H16C5Cx3	1
113	HO5S,HO5Sx,HO4OxS	-1
113	H4NO4P,H4NO3OxP	1
113	H3C4NO3,H3C3CxNO3,H3C4NO2Ox,H3C2Cx2NO3,H3CCx3NO3	-1
113	H3C3N3O2,H3C2CxN3O2,H3C3N3OOx,H3CCx2N3O2	-1,1
